appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,release_year,total_ratings,rating_ratio,owners_mean,genres_text,categories_text,platforms_text,tags_text_clean,developer_encoded
369070,Slain: Back from Hell,2016-03-24,1,Andrew Gilmour,Digerati Distribution,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action;Indie,Action;Pixel Graphics;Indie,30,957,399,201,201,100000-200000,9.99,2016,1356,0.705232129697863,150000.0,action indie,single-player steam achievements full controller support steam trading cards steam leaderboards,windows mac linux,pixel graphics,830
369080,Age of Survival,2015-08-25,1,Seattletek,Seattletek,windows,0,Single-player;Multi-player;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie;Simulation;Early Access,Early Access;Survival;Simulation,10,27,183,0,0,0-20000,13.99,2015,210,0.12796208530805686,10000.0,action adventure indie simulation early access,single-player multi-player steam trading cards partial controller support,windows,survival,12449
369100,Predator Simulator,2015-05-15,1,Imran Arafat,Reality Gameware,windows,0,Single-player;Partial Controller Support,Action;Adventure;Indie;Simulation,Action;Indie;Simulation,0,36,50,0,0,0-20000,5.79,2015,86,0.41379310344827586,10000.0,action adventure indie simulation,single-player partial controller support,windows,,6786
369110,The Swindle,2015-07-28,1,Size Five Games,Size Five Games,windows;mac,0,Single-player;Steam Achievements;Full controller support,Action;Indie;RPG,Indie;Action;RPG,15,269,147,0,0,20000-50000,11.99,2015,416,0.645083932853717,35000.0,action indie rpg,single-player steam achievements full controller support,windows mac,,12786
369120,Invisible Apartment Zero,2015-05-01,1,Jeroen van Oosten;Milan Kazarka,Vysoko Anime Production,windows;mac;linux,0,Single-player,Adventure,Adventure;Visual Novel;Female Protagonist,0,11,9,0,0,0-20000,2.09,2015,20,0.5238095238095238,10000.0,adventure,single-player,windows mac linux,visual novel female protagonist,7212
369180,SoulCraft,2015-06-01,1,MobileBits,Headup Games,windows,0,Single-player;Steam Achievements;Full controller support,Action;Casual;Indie;RPG,Action;RPG;Casual,41,45,50,0,0,20000-50000,3.99,2015,95,0.46875,35000.0,action casual indie rpg,single-player steam achievements full controller support,windows,,9234
369190,Shoot 'Em Up Kit,2015-06-05,1,Tall Studios,Tall Studios,windows,0,Partial Controller Support;Includes level editor,Animation & Modeling;Design & Illustration;Education;Utilities;Early Access,Early Access;Utilities;Animation & Modeling,0,19,10,0,0,0-20000,29.99,2015,29,0.6333333333333333,10000.0,animation & modeling design & illustration education utilities early access,partial controller support includes level editor,windows,,13860
369270,Megatect,2015-11-04,1,Timedrop Studios,Timedrop Studios,windows,0,Single-player;Multi-player,Action;Casual;Indie;Simulation;Sports;Early Access,Early Access;Sports;Action,0,28,5,0,0,0-20000,5.59,2015,33,0.8235294117647058,10000.0,action casual indie simulation sports early access,single-player multi-player,windows,,14427
369280,Hidden Mysteries: Titanic,2016-03-21,1,Gunnar Games,GameMill Entertainment,windows,0,Single-player,Casual,Casual;Hidden Object;Point & Click,0,11,7,0,0,0-20000,3.99,2016,18,0.5789473684210527,10000.0,casual,single-player,windows,hidden object point & click,6046
369290,Airport Madness: World Edition,2015-05-28,1,Big Fat Simulations Inc.,Big Fat Simulations Inc.,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure,Adventure;Simulation;Casual,38,189,43,0,0,20000-50000,6.99,2015,232,0.8111587982832618,35000.0,adventure,single-player steam achievements steam trading cards,windows mac,,1639
369310,Monstro: Battle Tactics,2015-12-03,1,Retrocade.net,Retrocade.net,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie;Strategy,Indie;Strategy;Casual,23,20,2,0,0,0-20000,4.79,2015,22,0.8695652173913043,10000.0,casual indie strategy,single-player steam achievements steam trading cards steam cloud,windows,,11778
369360,Car Washer: Summer of the Ninja,2015-11-04,1,Pen and Sword Games,Pen and Sword Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Casual;Indie,Indie;Action;Casual,17,12,24,232,232,0-20000,3.99,2015,36,0.32432432432432434,10000.0,action casual indie,single-player steam achievements full controller support steam trading cards steam cloud,windows,,10621
369370,Crossfire: Dungeons,2015-05-21,1,Random Thoughts Entertainment,Random Thoughts Enterainment,windows,0,Single-player;Multi-player;Steam Trading Cards;Steam Cloud,Strategy,Strategy;Turn-Based Tactics;Turn-Based Strategy,0,30,30,494,494,0-20000,2.79,2015,60,0.4918032786885246,10000.0,strategy,single-player multi-player steam trading cards steam cloud,windows,turn-based tactics turn-based strategy,11493
369390,Scourge of War: Waterloo,2015-11-19,1,NorbSoftDev,Slitherine Ltd.,windows,0,Single-player;Multi-player;Co-op;Steam Trading Cards,Simulation;Strategy,Strategy;Simulation;Wargame,0,109,31,0,0,0-20000,29.99,2015,140,0.7730496453900709,10000.0,simulation strategy,single-player multi-player co-op steam trading cards,windows,wargame,9932
369400,Let the Cat in,2015-08-27,1,Eforb,Eforb,windows;mac,0,Single-player;Steam Achievements;Steam Leaderboards;Steam Turn Notifications,Casual;Free to Play;Indie;Strategy,Free to Play;Female Protagonist;Story Rich,21,803,223,7,7,200000-500000,0.0,2015,1026,0.7818889970788705,350000.0,casual free to play indie strategy,single-player steam achievements steam leaderboards steam turn notifications,windows mac,female protagonist story rich,4318
369420,9 Clues 2: The Ward,2015-07-23,1,Tap It Games,Artifex Mundi,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Adventure;Casual;Hidden Object,39,488,40,177,177,50000-100000,6.99,2015,528,0.9224952741020794,75000.0,adventure casual,single-player steam achievements steam trading cards steam cloud,windows mac linux,hidden object,13880
369440,Immortal: Unchained,2018-09-07,1,Toadman Interactive,Toadman Interactive,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;RPG,RPG;Action;Adventure,43,365,139,0,0,0-20000,24.99,2018,504,0.7227722772277227,10000.0,action adventure rpg,single-player steam achievements full controller support steam trading cards steam cloud,windows,,14489
369460,Professor Why™: The Quantum Eye,2015-12-01,1,Professor Why,Professor Why,windows;mac;linux,0,Single-player;Full controller support;Steam Cloud,Indie;Simulation;Early Access,Early Access;Indie;Simulation,0,9,6,0,0,0-20000,6.99,2015,15,0.5625,10000.0,indie simulation early access,single-player full controller support steam cloud,windows mac linux,,11161
369530,Void Destroyer 2,2016-09-22,1,Iteration 11,Iteration 11,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access,Early Access;Strategy;Indie,17,204,20,0,0,0-20000,10.99,2016,224,0.9066666666666666,10000.0,action adventure indie rpg simulation strategy early access,single-player steam achievements partial controller support steam cloud,windows,,7017
369550,Blacksea Odyssey,2016-06-01,1,Blacksea Odyssey,Spiral Summit Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Stats;Steam Leaderboards,Action;Indie,Action;Indie;Twin Stick Shooter,19,152,27,0,0,20000-50000,6.99,2016,179,0.8444444444444444,35000.0,action indie,single-player steam achievements full controller support stats steam leaderboards,windows mac linux,twin stick shooter,1826
369560,The Story Goes On,2018-03-02,1,Scarecrow Arts,Scarecrow Arts,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Casual;Indie,Indie;Action;Casual,29,97,14,0,0,0-20000,5.79,2018,111,0.8660714285714286,10000.0,action adventure casual indie,single-player steam achievements full controller support steam trading cards steam cloud,windows mac linux,,12374
369570,Spectra,2015-07-10,1,Gateway Interactive,Mastertronic,windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Indie;Racing,Indie;Racing,27,31,10,0,0,0-20000,5.99,2015,41,0.7380952380952381,10000.0,indie racing,single-player steam achievements partial controller support steam cloud,windows mac linux,,5645
369580,NotTheNameWeWanted,2015-07-02,1,NotGames,NotGames,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Casual,Memes;Parody ;Funny,39,2512,353,17,17,100000-200000,1.99,2015,2865,0.8764829030006979,150000.0,casual,single-player steam achievements steam trading cards,windows mac linux,memes parody funny,9966
369640,Treeker: The Lost Glasses,2015-05-13,1,Fernando Paulo,Fernando Paulo,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Adventure;Indie,Indie;Adventure;First-Person,0,33,16,0,0,0-20000,6.19,2015,49,0.66,10000.0,adventure indie,single-player steam trading cards partial controller support,windows,first-person,4887
369700,Tanzia,2019-03-28,1,Arcanity Inc,Arcanity Inc,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie;RPG,RPG;Action;Indie,18,40,2,0,0,0-20000,15.49,2019,42,0.9302325581395349,10000.0,action adventure indie rpg,single-player steam achievements full controller support steam trading cards captions available steam cloud steam leaderboards,windows,,1024
369830,Toonstruck,2016-11-15,1,Burst,Interplay Entertainment Corp.,windows,0,Single-player,Adventure,Adventure;Point & Click;FMV,0,86,5,0,0,0-20000,6.99,2016,91,0.9347826086956522,10000.0,adventure,single-player,windows,point & click fmv,2226
369860,Brain Guzzler,2015-05-14,1,Flaming Pumpkin Ltd,Flaming Pumpkin Ltd,windows,0,Single-player;Steam Achievements;Steam Cloud,Action;Casual;Indie,Action;Indie;Casual,13,7,3,0,0,0-20000,0.79,2015,10,0.6363636363636364,10000.0,action casual indie,single-player steam achievements steam cloud,windows,,5005
369890,Riddled Corpses,2015-06-02,1,Daniel Fernandez Chavez,Diabolical Mind,windows;mac;linux,0,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie;RPG,Action;Indie;Adventure,15,135,50,784,784,20000-50000,5.59,2015,185,0.7258064516129032,35000.0,action adventure indie rpg,single-player co-op steam achievements full controller support steam trading cards steam cloud steam leaderboards,windows mac linux,,3425
369990,"Gremlins, Inc.",2016-03-10,1,Alexey Bokulev;Sergei Klimov;Charlie Oscar Lima Tango Interactive Entertainment,The Merchant Guild of Rund (Limited),windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop,Indie;Strategy,Board Game;Strategy;Card Game,100,3232,550,193,361,200000-500000,14.99,2016,3782,0.8543484007401533,350000.0,indie strategy,single-player multi-player online multi-player co-op online co-op cross-platform multiplayer steam achievements steam trading cards steam workshop,windows mac linux,board game card game,665
370020,Templar Battleforce,2015-09-21,1,Trese Brothers,Trese Brothers,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Action;Indie;RPG;Strategy,RPG;Strategy;Indie,51,681,39,74,147,20000-50000,6.99,2015,720,0.9445214979195562,35000.0,action indie rpg strategy,single-player steam achievements steam trading cards steam leaderboards,windows mac linux,,14666
370050,Scarab Tales,2015-07-01,1,Playito.com,Playito.com,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Casual;Indie;Strategy,Casual;Indie;Strategy,38,36,2,278,281,20000-50000,3.99,2015,38,0.9230769230769231,35000.0,casual indie strategy,single-player steam achievements steam cloud stats steam leaderboards includes level editor,windows mac linux,,10967
370060,Coffee Shop Tycoon,2016-12-05,1,Riff Studios,Riff Studios,windows;mac,0,Single-player,Casual;Indie;Simulation;Strategy;Early Access,Early Access;Management;Simulation,23,240,40,272,272,0-20000,5.19,2016,280,0.8540925266903915,10000.0,casual indie simulation strategy early access,single-player,windows mac,management,11830
370070,Wyrmsun,2015-05-22,1,Andrettin,Andrettin,windows;linux,0,Single-player;Steam Achievements;Steam Workshop;Includes level editor,Adventure;Indie;Strategy,Strategy;Adventure;Indie,17,146,32,11,11,20000-50000,0.0,2015,178,0.8156424581005587,35000.0,adventure indie strategy,single-player steam achievements steam workshop includes level editor,windows linux,,822
370080,Breezeblox,2015-05-15,1,Pugsley LLC,Pugsley LLC,windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support;Stats,Casual;Indie;Strategy,Indie;Casual;Strategy,3,54,7,0,0,0-20000,1.99,2015,61,0.8709677419354839,10000.0,casual indie strategy,single-player steam achievements partial controller support stats,windows mac linux,,11216
370090,Axis Football 2015,2015-07-15,1,Axis Games,Axis Games,windows;mac;linux,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Commentary available,Sports,Sports;Football;Simulation,14,258,112,1,1,100000-200000,10.99,2015,370,0.6954177897574124,150000.0,sports,single-player multi-player steam achievements steam trading cards partial controller support commentary available,windows mac linux,football,1283
370120,Pirate Code,2018-04-24,1,Circuit Hive,Circuit Hive,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats,Adventure;Indie;RPG;Strategy,Adventure;Strategy;RPG,33,8,4,0,0,0-20000,15.49,2018,12,0.6153846153846154,10000.0,adventure indie rpg strategy,single-player steam achievements steam trading cards steam cloud stats,windows mac,,2706
370130,Lion Quest,2016-07-11,1,Dracula's Cave,Dracula's Cave,windows;mac;linux,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Action;Adventure;Indie,46,24,19,60,60,0-20000,8.99,2016,43,0.5454545454545454,10000.0,action adventure indie,single-player multi-player co-op shared/split screen steam achievements full controller support steam trading cards steam cloud,windows mac linux,,4003
370140,Nebulous,2016-08-29,1,Namazu Studios,Namazu Studios,windows;mac,0,Single-player;Full controller support;VR Support;Steam Cloud,Casual;Indie,Indie;Casual,11,3,3,0,0,0-20000,10.99,2016,6,0.42857142857142855,10000.0,casual indie,single-player full controller support vr support steam cloud,windows mac,,9582
370150,LOOP: A Tranquil Puzzle Game,2015-05-22,1,John Cullen,John Cullen,windows;mac;linux,0,Single-player,Casual;Indie,Casual;Indie;Puzzle,13,93,3,0,0,0-20000,3.99,2015,96,0.9587628865979382,10000.0,casual indie,single-player,windows mac linux,puzzle,7264
370160,Front Wars,2015-08-17,1,Homemade Games,Homemade Games,windows;mac,0,Single-player;Multi-player;Partial Controller Support;Steam Leaderboards,Indie;Strategy,Strategy;Indie;Turn-Based Strategy,0,30,25,0,0,0-20000,4.99,2015,55,0.5357142857142857,10000.0,indie strategy,single-player multi-player partial controller support steam leaderboards,windows mac,turn-based strategy,6439
370170,Dale Hardshovel HD,2015-09-22,1,phime studio LLC,phime studio LLC,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Indie;Casual;Puzzle,9,15,11,253,259,20000-50000,0.79,2015,26,0.5555555555555556,35000.0,casual indie,single-player steam achievements steam trading cards,windows mac linux,puzzle,16666
370200,Two Steps Back,2015-08-06,1,Kristen Cheely,Kristen Cheely ,windows,0,Single-player;Steam Trading Cards,Casual;Indie,Indie;Casual;Visual Novel,0,8,12,0,0,0-20000,1.99,2015,20,0.38095238095238093,10000.0,casual indie,single-player steam trading cards,windows,visual novel,7802
370210,FIRMA,2016-11-18,1,Think Heavy Ltd.,Think Heavy Ltd.,windows,0,Single-player;Full controller support,Action;Adventure;Indie;Simulation,Action;Adventure;Indie,0,11,1,0,0,0-20000,9.99,2016,12,0.8461538461538461,10000.0,action adventure indie simulation,single-player full controller support,windows,,14316
370220,Animal Gods,2015-10-12,1,Still Games,Still Games,windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure;Indie,Action;Adventure;Indie,8,20,27,0,0,0-20000,6.99,2015,47,0.4166666666666667,10000.0,action adventure indie,single-player steam achievements partial controller support,windows mac linux,,13382
370270,Jim Power -The Lost Dimension,2015-09-30,1,Digital Concepts,Piko Interactive LLC;Classics Digital,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Action;Adventure,Action;Adventure;Platformer,0,29,14,416,416,0-20000,3.99,2015,43,0.6590909090909091,10000.0,action adventure,single-player steam trading cards partial controller support,windows,platformer,3791
370280,Season of 12 Colors,2016-03-14,1,橘子班,NVLMaker,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Casual;Indie,Indie;Casual;Visual Novel,5,1360,85,796,796,20000-50000,1.99,2016,1445,0.9405255878284924,35000.0,adventure casual indie,single-player steam achievements steam trading cards partial controller support steam cloud,windows mac linux,visual novel,17030
370300,8-Bit Adventures: The Forgotten Journey Remastered Edition,2015-05-22,1,Critical Games,Critical Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Indie;RPG,RPG;Adventure;Indie,40,64,11,0,0,50000-100000,6.99,2015,75,0.8421052631578947,75000.0,adventure indie rpg,single-player steam achievements steam trading cards partial controller support,windows,,3110
370310,Tompi Jones,2015-05-22,1,DreamsSoftGames,DreamsSoftGames,windows,0,Single-player,Action;Adventure;Casual;Indie,Action;Casual;Adventure,0,33,57,0,0,20000-50000,2.79,2015,90,0.3626373626373626,35000.0,action adventure casual indie,single-player,windows,,4066
370350,LOTUS-Simulator,2018-09-14,1,Oriolus Software GmbH,Oriolus Software GmbH,windows,0,Single-player;VR Support;Steam Workshop;Partial Controller Support,Simulation;Early Access,Early Access;Simulation;Singleplayer,0,94,35,0,0,0-20000,32.99,2018,129,0.7230769230769231,10000.0,simulation early access,single-player vr support steam workshop partial controller support,windows,singleplayer,10302
370360,TIS-100,2015-07-20,1,Zachtronics,Zachtronics,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards;Includes level editor,Indie;Simulation,Programming;Puzzle;Indie,10,2536,82,325,325,200000-500000,4.99,2015,2618,0.9683085147002672,350000.0,indie simulation,single-player steam achievements steam cloud steam leaderboards includes level editor,windows mac linux,programming puzzle,16053
370390,Path to the Sky,2016-02-02,1,DEKDEV,DEKDEV,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure;Indie;RPG;Early Access,Early Access;Indie;Adventure,0,51,14,0,0,0-20000,6.99,2016,65,0.7727272727272727,10000.0,action adventure indie rpg early access,single-player steam achievements full controller support steam cloud stats steam leaderboards,windows mac,,3293
370440,No70: Eye of Basir,2017-06-28,1,Oldmoustache Gameworks,Artcom FZC,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support,Adventure;Indie,Adventure;Indie;Horror,10,165,121,0,0,0-20000,2.09,2017,286,0.5749128919860628,10000.0,adventure indie,single-player steam achievements steam trading cards captions available partial controller support,windows,horror,10168
370460,Arcana Heart 3 LOVE MAX!!!!!,2015-09-29,1,EXAMU Inc.,Arc System Works,windows,0,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,Anime;Fighting;2D Fighter,56,272,42,215,215,20000-50000,22.99,2015,314,0.8634920634920635,35000.0,action,single-player multi-player steam achievements full controller support steam trading cards steam cloud steam leaderboards,windows,anime fighting 2d fighter,4232
370480,Pixel Galaxy,2015-10-02,1,Serenity Forge,Serenity Forge,windows;mac,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie,Bullet Hell;Co-op;Shoot 'Em Up,127,117,11,6,6,0-20000,6.99,2015,128,0.9069767441860465,10000.0,action indie,single-player shared/split screen steam achievements full controller support steam trading cards,windows mac,bullet hell shoot 'em up,12515
370490,ASCII Attack,2016-03-16,1,Daisy Maze Games,Daisy Maze Games,windows,0,Single-player;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie,Action;Indie;Bullet Hell,0,31,8,0,0,0-20000,1.99,2016,39,0.775,10000.0,action indie,single-player full controller support steam trading cards steam cloud,windows,bullet hell,3382
370510,Marble Mayhem: Fragile Ball,2015-07-07,1,"Bimboosoft Co.,Ltd.",Epic Quest Games,windows,0,Single-player;Steam Trading Cards,Action;Adventure;Casual;Indie;Racing;RPG;Simulation;Sports;Strategy,Casual;Action;Indie,0,665,338,204,217,200000-500000,0.79,2015,1003,0.6623505976095617,350000.0,action adventure casual indie racing rpg simulation sports strategy,single-player steam trading cards,windows,,1684
370540,Gary Grigsby's War in the East,2015-07-09,1,2by3 Games,Slitherine Ltd.,windows,0,Single-player;Multi-player,Simulation;Strategy,Strategy;Simulation;Wargame,0,235,15,0,0,0-20000,60.99,2015,250,0.9362549800796812,10000.0,simulation strategy,single-player multi-player,windows,wargame,99
370550,Sparkle 2,2015-06-01,1,10tons Ltd,10tons Ltd,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Adventure;Casual;Indie,Casual;Match 3;Action,14,85,10,0,0,20000-50000,5.59,2015,95,0.8854166666666666,35000.0,action adventure casual indie,single-player steam achievements steam trading cards steam cloud,windows,match 3,19
370560,Geek Resort,2016-01-20,1,Shinypix,Shinypix,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Casual;Simulation,Casual;Simulation,0,6,6,0,0,0-20000,3.99,2016,12,0.46153846153846156,10000.0,casual simulation,single-player steam trading cards steam cloud,windows,,12629
370570,Color Assembler,2015-06-03,1,Purple Nebula,Purple Nebula,windows,0,Single-player;Steam Cloud,Casual;Indie,Indie;Casual;Puzzle,0,19,4,0,0,0-20000,5.59,2015,23,0.7916666666666666,10000.0,casual indie,single-player steam cloud,windows,puzzle,11237
370590,Gem Wars: Attack of the Jiblets,2015-12-14,1,Queen Birdface Productions,Queen Birdface Productions,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards,Action;Casual;Indie,Action;Indie;Casual,47,37,23,0,0,20000-50000,0.0,2015,60,0.6065573770491803,35000.0,action casual indie,single-player multi-player co-op shared/split screen steam achievements full controller support steam trading cards,windows,,11311
370600,Hello Kitty and Sanrio Friends Racing,2015-07-09,1,Scarab Entertainment,Scarab Entertainment,windows,0,Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support,Casual;Racing;Sports,Racing;Casual;Sports,25,26,28,0,0,0-20000,14.99,2015,54,0.4727272727272727,10000.0,casual racing sports,co-op shared/split screen steam achievements partial controller support,windows,,12373
370620,Onyx,2017-04-21,1,Valkyria Games,Valkyria Games,windows,0,Single-player;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Casual;Indie;RPG,Casual;Adventure;RPG,0,5,5,0,0,0-20000,4.99,2017,10,0.45454545454545453,10000.0,adventure casual indie rpg,single-player steam trading cards partial controller support steam cloud,windows,,15108
370640,Midnight's Blessing,2015-05-25,1,Warfare Studios,Warfare Studios,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG,RPG;Indie;Casual,13,22,13,0,0,0-20000,6.99,2015,35,0.6111111111111112,10000.0,adventure casual indie rpg,single-player steam achievements full controller support steam trading cards steam cloud,windows,,15485
370660,Opaline,2017-05-05,1,Warfare Studios,Aldorlea Games,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG,RPG;Casual;Adventure,0,13,5,0,0,0-20000,4.79,2017,18,0.6842105263157895,10000.0,adventure casual indie rpg,single-player steam trading cards steam cloud,windows,,15485
370670,The Tale of a Common Man,2016-09-02,1,Aldorlea Games,Aldorlea Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG,RPG;Indie;Casual,12,92,4,0,0,0-20000,6.99,2016,96,0.9484536082474226,10000.0,adventure casual indie rpg,single-player steam achievements full controller support steam trading cards steam cloud,windows,,603
370700,Black Home,2015-08-07,1,Warfare Studios,Aldorlea Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG,RPG;Indie;Casual,22,27,9,0,0,0-20000,6.99,2015,36,0.7297297297297297,10000.0,adventure casual indie rpg,single-player steam achievements full controller support steam trading cards steam cloud,windows,,15485
370710,Last Heroes,2015-11-13,1,Warfare Studios,Aldorlea Games,windows,0,Single-player;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG,Adventure;RPG;Indie,0,40,16,0,0,0-20000,2.09,2015,56,0.7017543859649122,10000.0,adventure casual indie rpg,single-player full controller support steam trading cards steam cloud,windows,,15485
370730,NOBUNAGA'S AMBITION: Tenshouki WPK HD Version / 信長の野望・天翔記 with パワーアップキット HD Version,2015-11-11,0,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Steam Cloud,Strategy,Strategy,0,8,12,0,0,0-20000,39.99,2015,20,0.38095238095238093,10000.0,strategy,single-player steam cloud,windows,,7486
370750,Dungeoncraft,2015-06-05,1,Zinnusl,Zinnusl,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op,Indie;RPG;Strategy;Early Access,Early Access;Strategy;Indie,0,2,1,0,0,0-20000,6.99,2015,3,0.5,10000.0,indie rpg strategy early access,single-player multi-player online multi-player co-op online co-op,windows,,16145
370770,Holodrive,2016-03-24,1,BitCake Studio,Versus Evil,windows,0,Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases,Action;Free to Play;Indie;Early Access,Early Access;Free to Play;Indie,30,766,184,150,203,200000-500000,0.0,2016,950,0.8054679284963197,350000.0,action free to play indie early access,multi-player online multi-player cross-platform multiplayer steam achievements full controller support steam trading cards in-app purchases,windows,,1736
370780,Fated Souls,2015-07-30,1,Warfare Studios,Aldorlea Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG,RPG;Indie;RPGMaker,17,21,18,0,0,0-20000,6.99,2015,39,0.525,10000.0,adventure casual indie rpg,single-player steam achievements full controller support steam trading cards steam cloud,windows,rpgmaker,15485
370800,Fields of Battle,2017-09-01,1,Super X Studios LLC,Super X Studios LLC,windows,0,Single-player;Online Multi-Player;Full controller support;In-App Purchases,Action;Sports,Action;Sports;FPS,0,61,26,0,0,0-20000,0.0,2017,87,0.6931818181818182,10000.0,action sports,single-player online multi-player full controller support in-app purchases,windows,fps,13646
370840,Rugby Challenge 3,2016-06-28,1,Wicked Witch Software,Wicked Witch Software;Tru Blu Games,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Leaderboards,Sports,Sports,50,47,34,0,0,0-20000,39.95,2016,81,0.573170731707317,10000.0,sports,single-player multi-player online multi-player local multi-player shared/split screen steam achievements full controller support steam leaderboards,windows,,15639
370910,Kathy Rain,2016-05-05,1,Clifftop Games,Raw Fury,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Point & Click;Adventure;Pixel Graphics,20,1188,86,203,313,100000-200000,10.99,2016,1274,0.9317647058823529,150000.0,adventure indie,single-player steam achievements steam trading cards,windows mac,point & click pixel graphics,2752
370920,Cosmophony,2015-07-09,1,Bento-Studio,Frogames,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie,Indie;Action;Music,5,88,14,0,0,0-20000,3.99,2015,102,0.8543689320388349,10000.0,action indie,single-player steam achievements full controller support steam trading cards,windows mac linux,music,1595
370940,Demons with Shotguns,2016-04-25,1,"MindShaft Games, LLC","MindShaft Games, LLC",windows;mac,0,Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Local Co-Op,16,49,4,0,0,0-20000,6.99,2016,53,0.9074074074074074,10000.0,action indie,single-player shared/split screen steam achievements steam trading cards partial controller support steam cloud steam leaderboards,windows mac,,9153
